,Entry_date,Entry_time,Strike,Entry_price,Exit_date,Exit_time,Exit_price,Profit,Reason,DTE-W0
82,2016-07-27,11:00:00,BANKNIFTY28JUL1619100PE,122.3,2016-07-27,11:22:00,183.45,-63.59599999999999,SL,1.0
83,2016-07-27,11:00:00,BANKNIFTY28JUL1619100CE,84.45,2016-07-28,11:00:00,71.2,11.561,Expiry,1.0
84,2016-07-28,11:00:00,BANKNIFTY28JUL1619100CE,71.2,2016-07-28,15:29:00,0.05,69.726,Expiry,0.0
85,2016-07-28,11:00:00,BANKNIFTY28JUL1619100PE,63.7,2016-07-28,13:38:00,95.55000000000001,-33.12400000000001,SL,0.0
86,2016-08-01,11:00:00,BANKNIFTY04AUG1619000CE,160.95,2016-08-02,11:00:00,61.8,95.931,Expiry,3.0
87,2016-08-01,11:00:00,BANKNIFTY04AUG1619000PE,104.65,2016-08-01,11:59:00,156.97500000000002,-54.41800000000002,SL,3.0
88,2016-08-02,11:00:00,BANKNIFTY04AUG1618800PE,90.4,2016-08-02,14:14:00,135.60000000000002,-47.00800000000002,SL,2.0
89,2016-08-02,11:00:00,BANKNIFTY04AUG1618800CE,137.1,2016-08-03,11:00:00,97.2,37.157999999999994,Expiry,2.0
90,2016-08-03,11:00:00,BANKNIFTY04AUG1618700PE,82.0,2016-08-03,15:12:00,123.0,-42.64,SL,1.0
91,2016-08-03,11:00:00,BANKNIFTY04AUG1618700CE,144.4,2016-08-04,11:00:00,21.1,120.412,Expiry,1.0
92,2016-08-04,11:00:00,BANKNIFTY04AUG1618600CE,54.65,2016-08-04,15:29:00,0.1,53.456999999999994,Expiry,0.0
93,2016-08-04,11:00:00,BANKNIFTY04AUG1618600PE,54.0,2016-08-04,13:08:00,81.0,-28.08,SL,0.0
94,2016-08-05,11:00:00,BANKNIFTY11AUG1618800PE,126.45,2016-08-08,11:00:00,79.7,44.221000000000004,Expiry,4.0
95,2016-08-05,11:00:00,BANKNIFTY11AUG1618800CE,202.65,2016-08-08,11:00:00,237.2,-38.60299999999998,Expiry,4.0
96,2016-08-08,11:00:00,BANKNIFTY11AUG1619000PE,163.0,2016-08-09,11:00:00,163.65,-3.910000000000006,Expiry,3.0
97,2016-08-08,11:00:00,BANKNIFTY11AUG1619000CE,121.5,2016-08-09,11:00:00,97.9,21.169999999999995,Expiry,3.0
98,2016-08-09,11:00:00,BANKNIFTY11AUG1618900PE,112.1,2016-08-10,10:13:00,168.14999999999998,-58.29199999999998,SL,2.0
99,2016-08-09,11:00:00,BANKNIFTY11AUG1618900CE,147.15,2016-08-10,11:00:00,24.1,120.10700000000001,Expiry,2.0
100,2016-08-10,11:00:00,BANKNIFTY11AUG1618700CE,92.0,2016-08-11,11:00:00,19.0,71.16,Expiry,1.0
101,2016-08-10,11:00:00,BANKNIFTY11AUG1618700PE,74.1,2016-08-11,09:16:00,111.14999999999999,-38.532,SL,1.0
102,2016-08-11,11:00:00,BANKNIFTY11AUG1618600CE,59.05,2016-08-11,11:27:00,88.57499999999999,-30.705999999999992,SL,0.0
103,2016-08-11,11:00:00,BANKNIFTY11AUG1618600PE,31.85,2016-08-11,14:12:00,47.775000000000006,-16.562000000000005,SL,0.0
104,2016-08-12,11:00:00,BANKNIFTY18AUG1618800CE,115.9,2016-08-12,12:49:00,173.85000000000002,-60.268000000000015,SL,3.0
105,2016-08-12,11:00:00,BANKNIFTY18AUG1618800PE,137.6,2016-08-16,11:00:00,54.2,80.648,Expiry,3.0
106,2016-08-16,11:00:00,BANKNIFTY18AUG1619000CE,68.85,2016-08-16,14:38:00,103.27499999999999,-35.802,SL,2.0
107,2016-08-16,11:00:00,BANKNIFTY18AUG1619000PE,134.1,2016-08-16,12:04:00,201.14999999999998,-69.73199999999999,SL,2.0
108,2016-08-17,11:00:00,BANKNIFTY18AUG1619000PE,72.8,2016-08-18,11:00:00,0.8,70.544,Expiry,1.0
109,2016-08-17,11:00:00,BANKNIFTY18AUG1619000CE,86.0,2016-08-17,12:14:00,129.0,-44.72,SL,1.0
110,2016-08-18,11:00:00,BANKNIFTY18AUG1619300PE,43.1,2016-08-18,15:29:00,0.05,42.188,Expiry,0.0
